station,n_events,n_samples,freq_min_mhz,freq_max_mhz,n_freq_channels,sample_interval_s,data_std,frac_saturated,frac_zero,horizontal_rfi_frac,vertical_rfi_frac
SWISS-HEITERSWIL,72,3,45.0,80.81300354003906,200,0.25,16.36974785850008,0.00011695906432748539,0.00012531328320802005,0.085,0.000371298616912652
GERMANY-DLR,69,3,999.995,1602.683,200,0.5,3.5474523128803344,0.0,0.0,0.06333333333333334,0.0
SSRT,68,3,45.0629997253418,441.18798828125,200,0.25,14.52165651474377,0.0,0.0,0.17,0.020370370370370372
ROSWELL-NM,64,3,20.0,79.93800354003906,200,0.25,20.08093995013225,7.777777777777778e-05,8.333333333333333e-05,0.11499999999999999,0.035277777777777776
ALMATY,62,3,45.0,164.5,200,0.25,17.488650425344964,0.0,0.0,0.08833333333333333,0.04583333333333333
USA-ARIZONA-ERAU,60,3,45.0,69.43800354003906,400,0.5,12.974813031175563,7.777777777777778e-05,8.611111111111112e-05,0.09166666666666666,0.0
TRIEST,58,3,220.0,423.93798828125,200,0.25,12.94366399355185,0.0,0.0,0.041666666666666664,0.0
MONGOLIA-UB,57,3,45.0,200.02099609375,200,0.5,23.875723980482135,0.00011666666666666667,0.00013333333333333334,0.07833333333333332,0.00037037037037037035
SPAIN-PERALEJOS,51,3,17.0,88.68800354003906,200,0.25,13.000552119041762,0.0,0.0,0.043333333333333335,0.013888888888888888
NORWAY-EGERSUND,51,3,16.0,87.93800354003906,200,0.25,24.784307926895906,0.00011666666666666667,0.000125,0.25,0.0
SWISS-IRSOL,47,3,45.0,80.81300354003906,200,0.25,13.398376912226444,0.00011666666666666667,0.000125,0.08833333333333333,0.011296296296296297
MEXART,46,3,46.0,225.25,200,0.25,16.783864344206563,0.00011666666666666667,0.000125,0.26833333333333337,0.0
AUSTRIA-OE3FLB,38,3,510.0,784.625,200,0.25,19.035087525873486,0.00011678585802297143,0.00012512770502461223,0.27,0.0
